company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
其陽,3564,5.72,6.58,4.17,9.48,10.29,9.46,4.38,7.35,3.25,1.45,0.26,5.65,7.84,9.2,10.54,7.92,,4.05,
逸昌,3567,19.79,16.56,15.71,13.13,11.76,9.4,8.75,9.53,10.31,7.67,3.57,5.03,4.09,0.35,-10.7,-4.43,2.01,0.84,-4.61
大塚,3570,8.3,6.61,5.63,8.58,7.88,8.64,8.25,10.62,10.31,8.47,6.56,10.39,9.96,10.17,9.14,9.95,9.22,8.02,5.76
新日光,3576,-20.22,-8.01,1.84,-6.93,-10.83,-13.27,-10.63,0.89,3,5.25,5.28,2.57,1.53,-3.97,-23.14,-34.25,-27.42,-30.88,-58.49
泓格,3577,16.71,10.25,6,10.56,9.41,7.59,5.38,13.81,14.15,14.39,11.39,12.11,12.98,12.06,10.64,11.75,10.34,9.46,5.18
尚志,3579,-5.72,4.66,6.55,-13.63,-14.39,-13.7,-10.41,-13.59,-8.92,-5.14,-3.9,-17.66,-17.79,-20.36,-23.79,-34.72,-31.26,-28.98,-28.38
友威科,3580,-11.21,-21.12,-18.93,-19.08,-22.26,-29.62,-23.25,-19.88,-35.49,-51.16,-35.63,-41.6,-31.46,-34.41,-49.34,-39.24,-28.87,-28.02,-25.22
博磊,3581,4.23,5.27,2.3,5.65,3.4,2.26,4.26,10.56,9.56,12.79,1.58,4.79,4.82,3.98,19.97,3.97,,9.05,
辛耘,3583,8.37,9.26,8.96,2.92,0.64,0.73,1.55,9.07,6.17,3.17,1.01,8.13,7.53,6.11,5.52,7.82,6.07,1.23,
閎康,3587,16.78,16.32,14.66,15.86,15.69,12.93,11.65,19.85,19.92,18.48,19.25,23.03,23.38,22.34,19.38,23.14,23.14,18.49,14.48
通嘉,3588,7.98,7.76,8.87,9.4,10.04,8.63,8.86,9.7,10.26,9.82,10.72,10.65,11.03,12.2,12.4,11.42,12.38,12.83,10.68
艾笛森,3591,-2.87,-5.55,-4.39,-4.36,-0.67,-0.78,0.38,-1.76,-0.59,-0.99,0.54,-9.17,-0.1,-1.4,-8.99,1.32,4.01,6.01,6.84
力銘,3593,-12.36,-18.42,-17.26,-31.74,-26.82,-36.25,-25.51,-224.61,-209.87,-413.84,-228.21,-207.81,-191.48,-134.59,-77.98,-15.75,-9.59,-7.12,-4.69
磐儀,3594,-2,0.6,0.42,2.74,-0.71,-1.12,-7.74,6.12,4.4,4.7,3.58,5.43,5.4,6.48,2.23,3.28,1.93,3.02,-2.1
智易,3596,6.04,6.17,4.28,2.9,2.26,0.34,0.15,4.5,4.54,4.59,5.28,3.83,4,4.54,4.18,2.66,2.03,2,2.39
宏致,3605,2.61,0.9,0.3,3.79,3.85,0.6,3.21,10.85,12.71,12.43,6.83,4.82,3.29,1.88,-0.99,5.43,6.38,6.12,4.13
谷崧,3607,-6.87,-8.81,-12.14,7.01,7.51,7.86,9.2,7.74,4.47,3.1,0.17,5.66,3.9,5.12,7.26,3.85,0.71,-1.86,-5.19
東林,3609,-0.62,-0.66,-7.46,-11.28,-2.48,-3.2,-2.77,-2.41,-1.31,-1.51,-1.95,0.15,-1.18,-1.79,-4.38,-6.49,-4.2,-4.24,-4.56
鼎翰,3611,15.37,16.16,14.59,21.7,22.59,20.64,17.85,20.72,19.95,20.04,21.62,21.13,21.67,22.15,22.87,16.68,16.47,16.82,13.8
安可,3615,3.33,-4.37,-10.98,3.64,6.01,0.25,-2.43,-9.14,-9.81,-16.75,-28.17,0.59,6.76,10.28,15.7,12.22,7.79,1.98,3.14
碩天,3617,9.96,10.03,7.75,9.41,9.85,5.42,2.47,8.52,7.54,5.06,6.18,8.39,8.24,7.39,9.44,7.96,8.18,7.8,7.42
洋華,3622,-10.84,-11.03,-12.84,-118.81,-42.72,-40.51,-27.31,-34.9,-21.98,-14.13,-15.29,-19.78,-4.69,-0.55,6.15,-2.72,-6.02,-11.58,-6.64
富晶通,3623,20.05,21.69,21.3,19.84,19.19,18.85,19.8,19.71,19.87,19.6,19.32,10.77,9.74,9.21,8.71,1.58,0.79,-0.62,-4.62
光頡,3624,4.8,7.23,4.48,9.66,12.02,7.55,6.04,10.31,8.38,3.77,4.77,13.12,13.38,15.58,17.68,13.31,14.19,13.09,14.67
西勝,3625,7.6,4.29,0.58,0.15,-1.39,-3.18,-5.21,-18.5,-26.18,-43.76,-26.54,-23.74,-24.16,-25.87,-22.35,0.4,7.52,-14.89,-19.34
盈正,3628,2.22,2.67,-3.06,6.46,6.53,7.22,7.65,7.49,7.38,6.47,7.25,6.04,5.37,5.28,4.29,4.81,4.37,4.78,5.97
群富通,3629,-80.48,-64.95,-32.99,-79.99,-88.06,-89.8,-89.02,-68.6,-44.58,-52.85,-32.02,-21.48,-17.95,-3.11,-38.74,-34.82,-35.57,-30.75,-8.94
新鉅科,3630,-63.92,-68.41,-85.8,-72.34,-78.97,-92.64,-118.63,-25.35,-17.25,-6.95,2.73,5.05,0.69,-7.86,-20.23,-15.07,-15.74,-20.37,-33.59
晟楠,3631,1.16,1.64,10.89,-58.27,-23.4,-18.34,-17.91,4.51,6.21,4.41,5.04,7.94,6.86,5.7,8.86,8.55,8.2,9.22,13.29
研勤,3632,-12.57,-7.43,-4.8,3.65,4.36,2.48,2.19,-5.2,-8.66,-10.14,-2.51,1.65,3.09,4.82,5.12,2.9,2.75,3.02,3.4
駿熠電,3642,-19.83,-23.33,-26.1,-24.41,-28.96,-3.96,-4.13,3.06,2.93,-1.46,-6.44,-4.39,-1.54,2.3,4.92,2.5,1.76,3.15,0.05
達邁,3645,9.84,-1.4,-14.6,9.68,12.03,11.06,14.67,15.31,12.72,6.94,1.94,9.62,10.61,7.69,6.28,17.35,21.08,24.82,28.71
艾恩特,3646,8.09,7.53,1.83,0.81,2.12,-4.26,-5.38,-4.19,-2.23,-2.1,-4.53,2.05,3.07,1.72,3.19,-1.78,-3.08,-5.66,-6.19
精聯,3652,1.48,0.31,-1.64,1.68,0.66,0.81,1.45,1.75,1.81,1.79,0.85,1.15,0.43,-0.82,-5.52,0.34,-1.62,-2.95,-8.5
健策,3653,5.88,7.07,4.81,6.84,9.06,6.34,6.04,10.95,11.55,11.45,9.56,8.14,7.08,2.06,0.47,7.23,8.89,10.08,10.29
世芯-KY,3661,-9.7,-13.25,0.92,3.41,1.82,-2.54,-7.96,4.5,5.81,5.2,6.32,4.38,0.83,-6.7,-14.6,0.35,,0.79,
樂陞,3662,,14.11,10.2,26.17,26.47,38.27,21.41,39.57,16.85,-84.87,-95.24,8.31,-64.65,-24.12,-32.4,25.89,3.99,-89.14,-151.78
鑫科,3663,2.34,2.7,2.04,-8.59,-8.01,-4.31,-4.83,0.38,0.09,-0.26,0.54,-0.39,-0.17,-0.16,0.27,1.41,1.29,0.93,0.92
安瑞-KY,3664,-16.38,-20.38,-23.75,5.91,6.75,22.12,-75.45,1.49,-7.57,-3.67,-9.95,3.75,-7.16,-13.68,-41.61,-15.81,-22.14,-26.12,-45.65
貿聯-KY,3665,9.34,8.65,8.08,9.03,8.98,8.61,8.98,8.25,8.06,7.36,5.82,7.92,8.24,8.02,6.37,5.42,5.25,4.98,3.9
光耀,3666,0.96,2.78,4.73,1.91,-3.03,-7.29,-7.12,14.75,14.95,12.56,13.41,13.01,14.45,17.5,15.07,3.89,,0.99,
圓展,3669,7.2,4.93,0.87,-1.63,-1.48,-4.93,-10.73,1.15,3.63,4.35,0.88,-2.89,-0.96,-0.46,0.36,2.23,3.86,0.96,0.23
康聯訊,3672,8.46,8.91,8.91,11.26,12.43,11.55,12.32,12.72,13.93,15.5,17.86,9.33,,9.61,,2.81,,-2.98,
TPK-KY,3673,-2.8,-6.52,0.07,-16.54,-24.25,-3.08,-3.48,0.44,0.43,0.96,0.64,4.79,7.76,9.11,9.65,8.27,7.81,7.26,6.42
德微,3675,8.44,8.37,6.91,8.69,8.85,7.61,7.07,5.24,5.01,3.94,2.99,-2.43,-2.37,-2.62,-6.64,-5.33,-3.54,-1.93,0.27
新至陞,3679,13.71,12.62,9.47,7.72,6.06,2.92,0.79,7.14,6.87,6.54,6.93,5.74,5.33,3.4,3.35,7.78,7.52,8.31,6.85
家登,3680,-1.06,-2.03,-5.39,0.35,-1.37,-4.41,-5.15,1.63,1.63,1.46,2.33,1.2,-3.12,-5.81,-4.45,10.17,12.68,16.45,19.07
亞太電,3682,-35.62,-33.78,-25.75,-10.78,-18.23,-14.75,-8.58,-51.6,3.46,4.65,7.62,9.16,10.48,11.83,12.11,12.83,,16.11,
榮昌,3684,10.2,10.93,8.77,15.73,15.04,11.39,9.23,13.13,12.96,11.51,11.91,10.78,9.58,10.52,14.14,9.64,,10.58,
元創精密,3685,7.92,10.91,-2.88,-38.82,-5.4,10.38,11.05,-16.7,-26.26,-23.5,-17.5,6.5,8.39,5.89,5.45,1.91,2.02,-6.23,-10.24
達能,3686,-31.32,-15.64,-15.89,-38.34,-35.23,-38.37,-34.64,-28.97,-25.66,-22.39,-22.02,-61.72,-68.97,-86.85,-116.33,-84.17,-66.45,-54.08,-46.02
歐買尬,3687,-32.46,-28.78,-16.04,-13.22,-10.99,-8.37,-25.3,-112.72,-75.43,-81.66,-90.02,-40.49,-29.55,-11.83,3.71,19.19,25.79,29.64,23.96
湧德,3689,2.44,1.22,0.88,3.66,4.15,5.05,5.65,9.76,10,8.66,7.3,10.96,11.46,11.72,11.22,11.45,11.9,10.96,9.12
碩禾,3691,13.19,11.55,13.34,15.25,15.55,11.97,12.5,15.32,14.63,14.25,17.9,12.57,11.83,14.54,17.44,16.81,18.28,20.44,20.39
營邦,3693,2.55,1.22,1.7,6.77,6.98,5.43,5.65,10.27,9.63,11.13,13.63,10.8,11.24,11.4,13.02,7.2,,4.8,
海華,3694,1.31,0.58,0.94,0.59,-0.62,-4.59,-8.43,-10.43,-10.45,-18.52,-7.31,-4.04,-4.09,-4.27,-4.67,-1.53,-0.49,-0.31,-2.47
隆達,3698,-1.66,-2.02,-0.52,1.9,2.23,2.82,4.56,4.24,4.41,2.63,0.65,6.89,8.77,10.96,15.13,2.89,3.02,2.66,0.09
大眾控,3701,2,1.15,1.01,-5.12,-3.13,-3.18,0.06,-4.5,-3.47,-6.56,-12.26,-4.95,-4.87,-5.52,-8.12,-5.83,-1.93,-3.01,-1.91
大聯大,3702,1.26,1.22,1.28,1.05,1.12,1.1,1.3,1.28,1.33,1.35,1.36,1.17,1.27,1.29,1.2,1.24,1.3,1.24,1.15
欣陸,3703,-1.11,-3.8,-0.14,2.61,1.72,3.37,5.61,-4.35,6.5,6.65,-2.05,5.23,2.13,-0.98,-0.21,5,4.18,5.14,6.78
合勤控,3704,0.8,1.67,2.79,-3.02,-3.53,-6.31,-9.14,0.84,1.86,2.77,1.32,1.99,0.68,-1.52,-3.13,-0.18,-1.47,-2.53,-3.69
永信,3705,11.52,14.62,9.69,14.84,13.17,12.31,13.68,12.5,13.13,12.94,13.55,12.23,11.38,11.84,12.55,9.33,9.79,10.96,10.14
神達,3706,4.73,3.76,1.79,3.5,3.59,3.17,3.22,1.81,1.63,1.35,-0.45,4.8,4.44,,,,,,
漢磊,3707,-9.12,-8.08,-10.53,-17.19,-13.59,-10.73,-11.6,-16.97,,,,,,,,,,,
上緯投控,3708,0.99,,,,,,,,,,,,,,,,,,
永日,4102,-29.51,-21.32,-20.84,-8.71,-10.29,-19.27,-29.77,-23.95,-25.73,-34.96,-41.22,-22.26,-24.65,-6.79,-5.86,0.81,2.42,4.72,2.66
百略,4103,10.37,8.04,7.05,10.55,11.27,7.83,8.88,10.54,10.41,7.94,7.55,10.7,12.86,13.11,14.11,10.37,12.8,10.29,8.98
佳醫,4104,8.19,8.66,10.18,7.54,7.42,7.61,6.92,6.34,6.83,6.94,7.06,5.69,7.01,7.19,4.93,6.02,6.95,6.43,7.18
東洋,4105,32.28,36.99,33.44,39.01,24.02,20.43,14.42,27.24,9.1,6.6,8.37,20.72,26.36,37.51,60.72,16.98,17.17,22.65,18.37
雃博,4106,7.31,7.81,9.25,8.63,8.54,10.57,12.21,8.75,9.78,10.02,10.43,7.25,6.68,8.47,9.04,11.11,12.22,13.14,12.66
邦特,4107,25.51,26.81,26.12,25.07,27.21,24.17,23.64,25.89,25.46,25.25,24.32,22.47,22.94,22.44,21.54,19.74,18.48,17.66,18.16
懷特,4108,"-1,032","-1,410.69","-2,308.18","-1,154.36","-1,257.58","-1,490.95","-1,723.26",-382.76,-290.95,-284.23,-142.11,-132.61,-57.31,-23.88,17.8,-63.02,-58.96,-67.87,-98.07
穆拉德,4109,1.53,3.45,6.42,5.21,4.33,3.94,5.04,1.25,1.55,2.04,2.15,2.61,0.13,-2.23,-0.21,2.18,2.46,2,4.74
濟生,4111,6.57,5.57,4.13,4.19,5.35,4.18,2.89,7.74,9.54,8.78,8.69,10.38,9.09,7.63,5.21,8.17,8.94,9.46,10.49
聯上,4113,9.3,12.66,15.21,28.96,56.72,20.66,25.4,32.23,31.92,20.71,17.64,29.18,21.08,21.74,23.12,23.71,23.48,20.58,14.3
健喬,4114,9.64,14.73,32.81,-1.59,0.72,1.02,2.43,4.17,5.85,7.23,9.52,4.5,3.9,3.62,2.95,6.34,8.53,10.33,36.12
明基醫,4116,4.77,5.12,4.31,12.26,18.44,25.04,5.13,7.45,7.28,6.28,4.27,5.27,,4.08,,4.75,,3.95,
旭富,4119,23.28,24.69,24.31,20.65,21.4,21.27,20.95,17.75,18.77,19.82,16.98,12.37,12.41,15.56,15.91,15.4,14.56,14.36,15.87
友華,4120,6.86,7.9,11.74,2.77,3.36,4.25,8.34,2.62,3.32,3.47,4.27,9.36,14.14,16.18,9.74,3.76,4.16,3.76,8.09
優盛,4121,-1.36,-1.29,-0.99,-2.22,-1.25,-1.57,-1.88,-0.2,-0.18,0.13,0.65,0.39,1.07,2.26,7.15,1.14,1.64,0.82,1.09
晟德,4123,2.23,0.24,1.05,6.41,-3.21,-37.13,-36.9,53.18,2.32,31.09,11.87,9.06,5.92,-20.72,-12.29,8.6,-5.2,-12.1,-5.7
太醫,4126,20.58,21.49,22.98,21.66,20.47,16.06,18.7,21.7,19.89,19.37,22.94,22.29,23.2,24.65,25.89,21.79,22.35,22.06,21.94
天良,4127,-4.2,-1.13,2.2,5.84,7.88,10.01,12.57,7.29,7.31,7.49,8.26,5.34,6.03,6.44,4.84,4.2,4.86,7.54,5.6
中天,4128,-24.16,-28.09,-34.77,-18.16,-25.09,-26.09,-29.49,-15.37,-20.96,-25.01,-31.35,-13.55,-8.19,-1.23,15.68,-2.7,-5.65,0.09,25.67
聯合,4129,11.05,17.11,23.47,9.61,10.64,9.89,5.83,7.42,7,7.06,10.31,2.23,3.48,6.82,7.35,4.09,4.75,7.37,8.94
健亞,4130,12.07,14.92,24.71,9.73,12.37,11.62,16.14,15.26,19.33,19.67,18.98,11.5,14.49,15.29,12.83,17.26,22.45,9.69,8.51
晶宇,4131,-153.25,-149.77,-115.87,-77.3,-99.71,-105.6,-69.02,-81.72,-112.81,-98.69,-57.5,-73.66,-64.51,-26.95,-20.69,-78.73,-100.59,-129.13,-107.83
亞諾法,4133,10.76,12.16,12.44,9.95,10.25,11.09,0.53,14.98,12.93,11.86,12.63,15.72,16.87,18.18,19.17,16.57,17.45,18.3,22.75
麗豐-KY,4137,23.87,26.06,29.37,26.56,25.01,22.69,21.27,24.61,24.82,25.03,25.34,25.66,27.91,25.76,25.05,24.51,26.7,,
曜亞,4138,11.33,10.75,11.17,9.86,9.78,9.51,8.74,9.16,8.56,9.88,8.64,4.2,2.46,3.29,4.93,10.15,12.91,14.28,18.41
馬光-KY,4139,-10.99,-11.55,-11.8,-9.48,-9.79,-10.56,-13.22,-5.73,-4.48,2.15,18.61,-11.58,-11.73,-28.08,-8.16,4.41,4.97,10.01,6.98
龍燈-KY,4141,4.54,7.57,12.96,-1.89,-7.72,-5.96,-19.05,3.99,3.49,5.11,3.82,3.97,1.02,-3.68,-5.97,6.56,4.84,3.88,5.34
國光生,4142,-131.97,-177.28,-335.63,-269.08,-270.68,-446.9,-551.83,-128.62,-116.56,-68.6,"-2,936.85",-145,-152.5,-208.5,"-2,533.08",-155.92,-183.07,-193.69,-422.82
康聯-KY,4144,11.76,12.3,14.55,14.4,16.91,19.11,21.66,21.88,24.17,27.75,29.17,21.14,27.32,27.86,29.47,18.51,21.05,22.64,20.44
中裕,4147,"-11,975.22","-15,096.75","-26,930.29",,,,,,,,,,,,,,,,
台微體,4152,"-1,910.05","-1,655.46","-1,747.33","-1,130.46","-1,092.85",-892.85,-543,-659.77,-499.39,-347.31,-360.45,-252.75,-163.95,-34.3,-7.89,-77.76,-7.39,-32.42,
鈺緯,4153,0.39,3.68,-1.42,11.19,12.15,9.15,7.58,13.27,12.57,10.86,11.89,8.41,8.71,8.89,8.52,4.06,4,2.03,
康樂-KY,4154,6.5,-0.98,5.7,-4.56,-2.65,0.34,2.47,5.07,0.65,1.94,3.62,3.47,7.79,8.24,6.97,17.53,16.82,18.32,18.47
太景*-KY,4157,-213.64,-193.97,-547.69,-529.45,-498.22,-490.71,-450.46,-385.97,-338.81,-286.98,-125.33,-618.52,-526.73,-366.34,-270.52,"-1,158.25",,,
創源,4160,-0.59,-2.23,0.06,-4.67,-1.63,-0.22,-7.45,-11.05,-5.82,-1.81,0.93,-20.7,-24.52,-23.79,-21.84,-7.09,-1.52,1.07,1.63
聿新科,4161,0.37,0.35,-7.58,5.81,5.16,6.83,8.75,6.27,5.59,9.4,16.71,16.46,11.9,8.33,2.58,3.3,-4.86,-14.04,
智擎,4162,22.26,50.51,"-2,710.91",77.68,84.17,77.71,-506.99,53.97,69.85,-440,-206.74,-315.1,-360.66,-153.37,-131.79,26.62,35.51,76.8,86.09
鐿鈦,4163,16.84,18.5,15.42,15.6,14.87,10.98,13.84,17.54,18.25,17.74,17.52,16.08,17.07,17.66,18.06,13.02,15.16,9.74,7.19
承業醫,4164,2.59,2.15,2.53,9.3,7.41,4.76,-18.4,12.62,11.59,12.77,8.5,14.14,14.78,11.81,1.11,21.63,21.7,17.79,
展旺,4167,-21.64,-27.82,-39.93,-44.06,-38.25,-37.34,-40.84,-34.92,-38.14,-26.92,-32.22,-22.86,-19.68,-21.65,,-54.05,,-67.13,
醣聯,4168,"-31,101.97","-20,060.10","-12,970.64","-1,107.54",-952.91,-589.38,"-1,538.88",-525.26,"-7,338.22","-7,057.39","-4,569.32",-60.05,-344.68,-354.07,-284.22,17.95,-233.82,-200.42,
瑞基,4171,-15.19,-10.46,-16.61,-16.64,-13.22,-27.87,-40.09,-22.77,-21.98,-33.47,-45.69,-60.52,-55.83,-59.12,-86.66,-23.46,,-23.53,
久裕,4173,1.92,2.45,1.66,1.87,1.85,2.25,1.52,2.58,2.9,2.8,2.47,3.94,3.7,3.68,3.25,3.29,,2.94,
浩鼎,4174,-901.21,-503.51,,,,,,,,,,,,,,,,,
杏一,4175,2.51,2.68,2.85,3.12,3.22,3.3,3.79,2.69,2.52,2.55,3.11,3.07,3.18,3.14,3.58,1.1,,0.65,
安成藥,4180,-117.27,-115.69,-129.96,-99.43,-111.13,-159.99,-390.22,-254.25,-216.52,-245.79,-173.22,-135.56,-166.29,-484.02,-437.28,-159.97,,-118.8,
安克,4188,-621.97,-881.33,"-15,306","-43,730.50",,,,,,,,,,,,"-4,811.54",,,
佐登-KY,4190,14.86,14.69,15.17,19.69,20.78,20.64,18.96,17.4,16.99,15.32,13.15,17.31,23.55,,,13.74,,,
杏國,4192,"-3,404.45","-3,406.61","-3,315.35","-1,178.09","-1,203.36",-782.49,"-3,979.34","-4,561.94","-4,850.42","-4,481.32","-3,747.32","-13,922.54",,,,,,,
環瑞醫,4198,-115.69,-104.08,-123.16,-90.56,-90.31,-131.38,-168.39,-85.18,-94.14,-77.35,-76.66,-100.58,,-46.18,,-50.67,,,
中華食,4205,16.12,15.34,14.47,13.96,14.09,12.57,11.31,11.22,11.38,10.54,10.89,11.18,11.25,11.66,9.99,12.08,12.81,13.62,13.97
環泰,4207,3.85,2.64,0.66,0.81,0.6,1,-0.34,2.5,4.28,4.12,4.03,7.73,8.99,7.02,8.13,7.06,7.31,6.3,13.24
信立,4303,3.55,2.86,3.88,8.65,9.58,6.35,1.61,10.36,11.19,9.82,7.31,5.42,4.79,3.5,-1.06,-1.18,0.03,-1.41,-2.02
勝昱,4304,-8.56,-4.48,5.12,-19.51,-14.66,-12.45,-11.3,-21.86,-22.93,-26.95,-28.84,-16.4,-15.97,-19.37,-22.23,-5.3,-8.77,-4.84,-7.07
世坤,4305,12.55,14.58,13.34,13.01,12.5,11.03,9.67,9.01,8.6,8.99,9.81,10.68,11.21,12.01,12.19,9.42,9.56,9.41,9.08
炎洲,4306,-0.4,0.72,2.84,2.62,3.36,3.35,-2.36,2.04,3.22,1.92,2.43,5.03,6.28,7.59,7.93,3.04,3.31,4.13,6.23
東隆興,4401,12.32,12.46,12.45,12.13,12.3,12.24,10.93,10.54,11.17,11.38,12.1,13.25,12.87,12.77,12.49,7.86,7.83,7.17,7.24
福大,4402,14.66,-23.53,-21.22,-23.73,-20.13,-18.69,-20.58,-10.86,-9.34,-7.46,-8.72,-12.91,-14.11,-17.78,-16.99,-14.35,-14.11,-11.18,-6.03
新昕纖,4406,1.31,3.26,-1.34,0.17,0.05,0.07,-5.2,-2.08,-1.71,-0.65,-2.62,-2.66,-2.17,-0.64,-1.09,-2.05,-3.1,-2.68,-1.62
飛寶,4413,-0.73,-1.7,-5.41,3.43,3.3,-4.61,-13.56,-19.15,-24.01,-19.25,-0.7,-55.11,-68.82,-56.95,-139.08,-71.23,-104.37,-175.85,-130.7
如興,4414,-7.44,-4.45,-5.62,-20.48,-8.14,-9.31,-9.55,1.15,1.91,3.1,7.77,3.05,3.34,3.2,3.25,1.88,2.84,1.9,0.57
台原藥,4415,-305.26,-717.49,-746.94,-346.16,-37.23,-272.07,-698.79,-630.15,-406.89,-189.04,-342.94,-106.27,-164.13,-133.48,-126.32,-111.89,-131.38,-132.04,"-1,027.66"
三圓,4416,-119.59,-104.64,-27.69,51.71,52.58,53.56,10.79,15.83,17.1,18.36,58.64,13.75,12.39,15.01,30.07,32.56,33.15,32.31,32.98
金洲,4417,18.85,17.5,14.62,11.01,11.82,12.24,14.68,6.98,6.35,4.93,5.39,6.56,6.65,5.92,8.84,14.29,16.88,5.44,5.74
松懋,4419,-129.69,-86.42,-161.67,-117.45,-45.2,-50.39,-49.27,-43.46,-39.44,-26.14,-22.65,-37.77,-27.02,-9.35,-5.12,-3.49,-4.8,-5.93,-7.94
光明,4420,2.2,2.09,3.28,16.24,23.92,46.31,7.59,7.15,6.05,5.77,-2.45,0.42,0.59,1.2,3.4,3.39,3.73,4.22,4.87
利勤,4426,28.91,26.35,34.31,27.76,29.28,27.66,27.92,19.5,15.84,12.66,16.01,16.38,15.48,16.92,18.53,14.28,15.73,15.02,11.75
聚紡,4429,1.56,2.52,6.72,1.57,5.7,4.61,5.8,1.78,3.22,4.75,2.85,3.24,3.98,4.41,2.22,4.42,6.26,9,9.82
耀億,4430,2.99,4.42,6.67,6.57,7.43,7.61,6.55,6.05,6.5,8.04,6.7,5.98,7.47,9.16,9,5.51,5.92,6.87,4.92
銘旺實,4432,7.07,8.23,8.89,10.99,11.99,9.18,12.17,10.1,10.21,9.72,12.14,9.24,8.82,10.51,12.96,8.18,7.88,7.8,7.31
興采,4433,2.72,3.75,1.71,4.71,5.12,6.76,0.15,2.47,3.57,4.64,4.79,4.8,6.28,7.69,6.82,3.93,,6.37,
廣越,4438,9.3,2.72,-12.85,10.04,11.43,4.92,,10.85,,,,12.85,,,,13.58,,,
健信,4502,0.92,1.3,0.15,0.28,-3.68,0.58,-4.34,-10.87,-10.85,-10.16,-13.27,-16.01,-16.35,-13.54,-13.66,-6.87,-5.86,-4.28,2.1
金雨,4503,6.55,10.16,12.74,-1.26,1.2,0.08,-1.94,-12.5,-12.41,-14.14,-23.09,-21.37,-14.22,-13.14,-33.21,-1.41,-22.82,-21.91,-56.26
崇友,4506,15.9,15.98,15.93,11.98,13.3,14.47,16.3,9.73,11.01,11.13,9.62,8.53,12.24,13.34,15.83,8.02,9.89,11.88,17.05
高鋒,4510,4.09,3.33,0.15,5.96,8.5,6.36,7.84,8.09,7.23,7.17,10.35,6.63,6.87,5.87,2.94,1.26,2.11,2.59,0.43
福裕,4513,-5.86,-4.77,-7.14,6.07,10.17,0.86,1.72,2.14,1.86,1.91,0.69,-1.02,-1.9,-1.65,-1.69,1.88,2.83,3.73,2.69
永彰,4523,1.16,-0.33,-3.04,-0.09,-2.27,-1.43,-5.17,2.56,1.53,1.66,3.96,2.96,2.88,3.18,6.82,1.15,3.81,2.96,3.55
東台,4526,-0.23,0.35,-1.53,3.52,4.43,1.46,0.31,7.5,8.09,6.9,9.09,4.87,5.18,5.18,2.65,4.27,4.25,4.15,4.49
方土霖,4527,8.39,6.83,3.92,7.76,6.14,5.52,4.89,7.36,7.47,7.78,6.95,7.48,6.06,4.82,2.24,5.82,5.53,4.47,3.47
江興鍛,4528,9.76,9.54,10.05,12.21,12.55,13.07,15.53,12.22,11.02,9.12,10.94,11.05,11.29,11.65,12.74,10.56,11.48,12.58,12.61
昶洧,4529,-660.41,-372.62,"-2,501.28",-769.36,-365.88,"-3,202.88","-2,919.43",-569.64,-370.4,-152.57,-58.68,"25,723.81","26,906.50","30,155.62","-2,895.33",-20.22,-14.68,-15.78,3.77
宏易,4530,686.75,-337.99,-323.62,-116.07,-247.56,-105.3,-126.15,-89.57,-85.67,-99.03,-157.11,-94.12,-45.51,-28.43,-26.52,-57.16,-19.93,-13.07,-27.45
瑞智,4532,8.81,9.42,7.73,5.88,6.67,6.5,6.51,6.69,6.94,6.54,6.21,6.42,6.42,6.36,5.62,7.46,7.33,6.85,6.95
協易機,4533,5,5.01,5.02,2.5,3.43,3.9,1.54,4.65,5.04,6.35,6.94,4.8,4.91,5.61,7.19,3.47,3.71,4.97,1.4
慶騰,4534,5.84,3.65,-0.52,3.94,3.11,-1.08,-4.51,6.59,6.58,5.44,0.33,6.92,5.48,4.85,-0.37,-6.79,-5.93,-8.46,-14.78
至興,4535,9.05,8.99,9.7,8.28,8.36,7.07,6.5,7.07,7.2,7.57,8.96,6.69,6.67,6.99,6.77,6.22,6.68,7.57,8.86
拓凱,4536,12.39,12.94,15.72,8.96,9.34,7.43,4.4,9.23,9.07,6.9,4.73,9.69,10.67,11.81,11.76,7.01,,3.96,
晟田,4541,-1.68,0.87,-5.09,5.35,5.51,4.56,3.18,9.03,9.49,9.67,10.98,11.01,10.14,11.14,5.64,6.65,,,
科嶠,4542,-25.78,-31.48,-44.45,-2.21,3.12,1.1,5.09,16.96,17.14,16.86,20.1,13.74,12.91,14.12,13.45,15.27,,11.43,
萬在,4543,4.02,4.72,2.79,8.51,9.01,6.31,10.32,11.85,12.59,13.33,,9.31,,8.16,,7.95,,10.3,
銘鈺,4545,7.21,8.56,6.53,15.39,16.53,14.95,18.5,15.86,16.36,13.08,12.95,10.06,,5.02,,7.66,,,
桓達,4549,16.95,18.42,25.2,15.92,16.34,15.7,13.73,21.06,20.9,21.55,16.55,20.25,,,,21.74,,,
長佳,4550,6.46,8.14,5.52,3.46,4.56,5.85,3.73,5.97,4.98,4.33,1.93,8.59,,3.52,,11.47,,-1.25,
智伸科,4551,12.31,12.57,12.29,9.51,9.41,8.21,6.36,11.45,11.8,12.6,13.02,8.02,,8.89,,4.87,,,
力達-KY,4552,12.07,12.39,13.71,12.27,12.42,12.53,12.36,11.25,11.13,10.44,9.82,10.47,,,,10.09,,,
